SubjID Var1 Var2 Var3 Patterns FreqPatterns initial_gik1 initial_gik2 initial_gik3 initial_gik4 final_gik1 final_gik2 final_gik3 final_gik4
ID1 3 2 4 324 54 0.25 0.25 0.25 0.25 0 0 0 1
ID10 1 1 3 113 40 0.25 0.25 0.25 0.25 0.5 0 0.5 0
ID100 3 1 2 312 41 0.25 0.25 0.25 0.25 0.6667 0 0 0.3333
ID1000 2 1 3 213 55 0.25 0.25 0.25 0.25 0 0 1 0
ID101 3 2 4 324 54 0.25 0.25 0.25 0.25 0 0 0 1
ID102 2 2 3 223 44 0.25 0.25 0.25 0.25 0 0.3333 0.6667 0
ID103 2 1 1 211 52 0.25 0.25 0.25 0.25 0 0.3333 0.6667 0
ID104 3 2 1 321 41 0.25 0.25 0.25 0.25 0 0.5 0 0.5
ID105 1 1 3 113 40 0.25 0.25 0.25 0.25 0.5 0 0.5 0
ID106 1 1 4 114 45 0.25 0.25 0.25 0.25 0.6667 0 0 0.3333
ID107 3 1 1 311 39 0.25 0.25 0.25 0.25 0.2922 0.3333 0.0411 0.3333
ID108 2 1 1 211 52 0.25 0.25 0.25 0.25 0 0.3333 0.6667 0
ID109 2 1 1 211 52 0.25 0.25 0.25 0.25 0 0.3333 0.6667 0
ID11 2 1 4 214 46 0.25 0.25 0.25 0.25 0 0 0.6667 0.3333
ID110 2 2 2 222 30 0.25 0.25 0.25 0.25 0.3333 0.3333 0.3333 0
ID111 2 1 1 211 52 0.25 0.25 0.25 0.25 0 0.3333 0.6667 0
ID112 2 2 2 222 30 0.25 0.25 0.25 0.25 0.3333 0.3333 0.3333 0
ID113 2 2 3 223 44 0.25 0.25 0.25 0.25 0 0.3333 0.6667 0
ID114 3 1 1 311 39 0.25 0.25 0.25 0.25 0.2922 0.3333 0.0411 0.3333
ID115 2 1 4 214 46 0.25 0.25 0.25 0.25 0 0 0.6667 0.3333
ID116 1 2 4 124 26 0.25 0.25 0.25 0.25 0 0.5 0 0.5
ID117 2 2 3 223 44 0.25 0.25 0.25 0.25 0 0.3333 0.6667 0
ID118 2 1 1 211 52 0.25 0.25 0.25 0.25 0 0.3333 0.6667 0
ID119 2 1 3 213 55 0.25 0.25 0.25 0.25 0 0 1 0
ID12 2 1 1 211 52 0.25 0.25 0.25 0.25 0 0.3333 0.6667 0
ID120 3 1 3 313 40 0.25 0.25 0.25 0.25 0 0 0.6667 0.3333
ID121 2 1 2 212 34 0.25 0.25 0.25 0.25 0.5 0 0.5 0
ID122 3 1 1 311 39 0.25 0.25 0.25 0.25 0.2922 0.3333 0.0411 0.3333
ID123 2 2 3 223 44 0.25 0.25 0.25 0.25 0 0.3333 0.6667 0
ID124 3 1 3 313 40 0.25 0.25 0.25 0.25 0 0 0.6667 0.3333
ID125 1 1 4 114 45 0.25 0.25 0.25 0.25 0.6667 0 0 0.3333
ID126 3 1 1 311 39 0.25 0.25 0.25 0.25 0.2922 0.3333 0.0411 0.3333
ID127 3 1 2 312 41 0.25 0.25 0.25 0.25 0.6667 0 0 0.3333
ID128 3 2 2 322 41 0.25 0.25 0.25 0.25 0.3333 0 0 0.6667
ID129 1 2 4 124 26 0.25 0.25 0.25 0.25 0 0.5 0 0.5
ID13 1 2 2 122 40 0.25 0.25 0.25 0.25 0.5 0.5 0 0
ID130 3 2 2 322 41 0.25 0.25 0.25 0.25 0.3333 0 0 0.6667
ID131 3 1 4 314 40 0.25 0.25 0.25 0.25 0.2515 0 0.0818 0.6667
ID132 2 2 3 223 44 0.25 0.25 0.25 0.25 0 0.3333 0.6667 0
ID133 2 1 4 214 46 0.25 0.25 0.25 0.25 0 0 0.6667 0.3333
ID134 2 1 3 213 55 0.25 0.25 0.25 0.25 0 0 1 0
ID135 3 1 4 314 40 0.25 0.25 0.25 0.25 0.2515 0 0.0818 0.6667
ID136 3 1 3 313 40 0.25 0.25 0.25 0.25 0 0 0.6667 0.3333
ID137 3 1 4 314 40 0.25 0.25 0.25 0.25 0.2515 0 0.0818 0.6667
ID138 2 2 1 221 26 0.25 0.25 0.25 0.25 0 0.6667 0.3333 0
ID139 1 2 4 124 26 0.25 0.25 0.25 0.25 0 0.5 0 0.5
ID14 2 2 4 224 44 0.25 0.25 0.25 0.25 0 0 0.3333 0.6667
ID140 2 1 2 212 34 0.25 0.25 0.25 0.25 0.5 0 0.5 0
ID141 1 1 2 112 34 0.25 0.25 0.25 0.25 1 0 0 0
ID142 3 2 1 321 41 0.25 0.25 0.25 0.25 0 0.5 0 0.5
ID143 3 1 1 311 39 0.25 0.25 0.25 0.25 0.2922 0.3333 0.0411 0.3333
ID144 2 2 1 221 26 0.25 0.25 0.25 0.25 0 0.6667 0.3333 0
ID145 1 2 2 122 40 0.25 0.25 0.25 0.25 0.5 0.5 0 0
ID146 3 2 3 323 47 0.25 0.25 0.25 0.25 0 0 0.3333 0.6667
ID147 1 1 3 113 40 0.25 0.25 0.25 0.25 0.5 0 0.5 0
ID148 3 1 3 313 40 0.25 0.25 0.25 0.25 0 0 0.6667 0.3333
ID149 2 2 4 224 44 0.25 0.25 0.25 0.25 0 0 0.3333 0.6667
ID15 3 1 3 313 40 0.25 0.25 0.25 0.25 0 0 0.6667 0.3333
ID150 2 1 3 213 55 0.25 0.25 0.25 0.25 0 0 1 0
ID151 1 2 1 121 50 0.25 0.25 0.25 0.25 0 1 0 0
ID152 3 1 1 311 39 0.25 0.25 0.25 0.25 0.2922 0.3333 0.0411 0.3333
ID153 2 2 3 223 44 0.25 0.25 0.25 0.25 0 0.3333 0.6667 0
ID154 1 1 1 111 47 0.25 0.25 0.25 0.25 0.5 0.5 0 0
ID155 3 1 4 314 40 0.25 0.25 0.25 0.25 0.2515 0 0.0818 0.6667
ID156 3 2 1 321 41 0.25 0.25 0.25 0.25 0 0.5 0 0.5
ID157 3 2 4 324 54 0.25 0.25 0.25 0.25 0 0 0 1
ID158 1 2 1 121 50 0.25 0.25 0.25 0.25 0 1 0 0
ID159 2 2 4 224 44 0.25 0.25 0.25 0.25 0 0 0.3333 0.6667
ID16 1 1 3 113 40 0.25 0.25 0.25 0.25 0.5 0 0.5 0
ID160 2 2 4 224 44 0.25 0.25 0.25 0.25 0 0 0.3333 0.6667
ID161 1 1 4 114 45 0.25 0.25 0.25 0.25 0.6667 0 0 0.3333
ID162 2 2 3 223 44 0.25 0.25 0.25 0.25 0 0.3333 0.6667 0
ID163 3 1 3 313 40 0.25 0.25 0.25 0.25 0 0 0.6667 0.3333
ID164 3 2 4 324 54 0.25 0.25 0.25 0.25 0 0 0 1
ID165 1 1 4 114 45 0.25 0.25 0.25 0.25 0.6667 0 0 0.3333
ID166 2 2 4 224 44 0.25 0.25 0.25 0.25 0 0 0.3333 0.6667
ID167 1 1 2 112 34 0.25 0.25 0.25 0.25 1 0 0 0
ID168 2 1 3 213 55 0.25 0.25 0.25 0.25 0 0 1 0
ID169 3 2 2 322 41 0.25 0.25 0.25 0.25 0.3333 0 0 0.6667
ID17 3 2 1 321 41 0.25 0.25 0.25 0.25 0 0.5 0 0.5
ID170 3 2 4 324 54 0.25 0.25 0.25 0.25 0 0 0 1
ID171 1 1 4 114 45 0.25 0.25 0.25 0.25 0.6667 0 0 0.3333
ID172 3 2 4 324 54 0.25 0.25 0.25 0.25 0 0 0 1
ID173 2 1 4 214 46 0.25 0.25 0.25 0.25 0 0 0.6667 0.3333
ID174 1 1 2 112 34 0.25 0.25 0.25 0.25 1 0 0 0
ID175 1 1 2 112 34 0.25 0.25 0.25 0.25 1 0 0 0
ID176 2 1 2 212 34 0.25 0.25 0.25 0.25 0.5 0 0.5 0
ID177 3 2 3 323 47 0.25 0.25 0.25 0.25 0 0 0.3333 0.6667
ID178 1 1 2 112 34 0.25 0.25 0.25 0.25 1 0 0 0
ID179 2 2 4 224 44 0.25 0.25 0.25 0.25 0 0 0.3333 0.6667
ID18 3 2 3 323 47 0.25 0.25 0.25 0.25 0 0 0.3333 0.6667
ID180 2 2 4 224 44 0.25 0.25 0.25 0.25 0 0 0.3333 0.6667
ID181 1 2 3 123 44 0.25 0.25 0.25 0.25 0 0.6667 0.3333 0
ID182 2 2 4 224 44 0.25 0.25 0.25 0.25 0 0 0.3333 0.6667
ID183 1 2 2 122 40 0.25 0.25 0.25 0.25 0.5 0.5 0 0
ID184 1 2 1 121 50 0.25 0.25 0.25 0.25 0 1 0 0
ID185 2 1 1 211 52 0.25 0.25 0.25 0.25 0 0.3333 0.6667 0
ID186 1 2 3 123 44 0.25 0.25 0.25 0.25 0 0.6667 0.3333 0
ID187 3 2 1 321 41 0.25 0.25 0.25 0.25 0 0.5 0 0.5
ID188 1 2 2 122 40 0.25 0.25 0.25 0.25 0.5 0.5 0 0
ID189 1 1 2 112 34 0.25 0.25 0.25 0.25 1 0 0 0
ID19 1 1 3 113 40 0.25 0.25 0.25 0.25 0.5 0 0.5 0
ID190 2 1 2 212 34 0.25 0.25 0.25 0.25 0.5 0 0.5 0
ID191 1 2 1 121 50 0.25 0.25 0.25 0.25 0 1 0 0
ID192 2 1 3 213 55 0.25 0.25 0.25 0.25 0 0 1 0
ID193 1 1 4 114 45 0.25 0.25 0.25 0.25 0.6667 0 0 0.3333
ID194 1 1 3 113 40 0.25 0.25 0.25 0.25 0.5 0 0.5 0
ID195 1 2 2 122 40 0.25 0.25 0.25 0.25 0.5 0.5 0 0
ID196 3 2 2 322 41 0.25 0.25 0.25 0.25 0.3333 0 0 0.6667
ID197 3 2 2 322 41 0.25 0.25 0.25 0.25 0.3333 0 0 0.6667
ID198 2 1 4 214 46 0.25 0.25 0.25 0.25 0 0 0.6667 0.3333
ID199 1 1 3 113 40 0.25 0.25 0.25 0.25 0.5 0 0.5 0
ID2 3 2 1 321 41 0.25 0.25 0.25 0.25 0 0.5 0 0.5
ID20 1 1 4 114 45 0.25 0.25 0.25 0.25 0.6667 0 0 0.3333
ID200 2 1 1 211 52 0.25 0.25 0.25 0.25 0 0.3333 0.6667 0
ID201 3 2 2 322 41 0.25 0.25 0.25 0.25 0.3333 0 0 0.6667
ID202 2 1 3 213 55 0.25 0.25 0.25 0.25 0 0 1 0
ID203 3 2 1 321 41 0.25 0.25 0.25 0.25 0 0.5 0 0.5
ID204 2 2 4 224 44 0.25 0.25 0.25 0.25 0 0 0.3333 0.6667
ID205 3 2 3 323 47 0.25 0.25 0.25 0.25 0 0 0.3333 0.6667
ID206 1 1 3 113 40 0.25 0.25 0.25 0.25 0.5 0 0.5 0
ID207 1 1 2 112 34 0.25 0.25 0.25 0.25 1 0 0 0
ID208 1 1 3 113 40 0.25 0.25 0.25 0.25 0.5 0 0.5 0
ID209 1 1 4 114 45 0.25 0.25 0.25 0.25 0.6667 0 0 0.3333
ID21 1 2 1 121 50 0.25 0.25 0.25 0.25 0 1 0 0
ID210 3 2 3 323 47 0.25 0.25 0.25 0.25 0 0 0.3333 0.6667
ID211 2 2 2 222 30 0.25 0.25 0.25 0.25 0.3333 0.3333 0.3333 0
ID212 1 2 4 124 26 0.25 0.25 0.25 0.25 0 0.5 0 0.5
ID213 2 1 1 211 52 0.25 0.25 0.25 0.25 0 0.3333 0.6667 0
ID214 1 2 1 121 50 0.25 0.25 0.25 0.25 0 1 0 0
ID215 3 2 4 324 54 0.25 0.25 0.25 0.25 0 0 0 1
ID216 3 2 3 323 47 0.25 0.25 0.25 0.25 0 0 0.3333 0.6667
ID217 1 2 1 121 50 0.25 0.25 0.25 0.25 0 1 0 0
ID218 2 2 3 223 44 0.25 0.25 0.25 0.25 0 0.3333 0.6667 0
ID219 3 1 3 313 40 0.25 0.25 0.25 0.25 0 0 0.6667 0.3333
ID22 1 2 4 124 26 0.25 0.25 0.25 0.25 0 0.5 0 0.5
ID220 1 1 2 112 34 0.25 0.25 0.25 0.25 1 0 0 0
ID221 3 2 3 323 47 0.25 0.25 0.25 0.25 0 0 0.3333 0.6667
ID222 2 2 4 224 44 0.25 0.25 0.25 0.25 0 0 0.3333 0.6667
ID223 1 2 1 121 50 0.25 0.25 0.25 0.25 0 1 0 0
ID224 1 2 1 121 50 0.25 0.25 0.25 0.25 0 1 0 0
ID225 1 1 1 111 47 0.25 0.25 0.25 0.25 0.5 0.5 0 0
ID226 1 1 3 113 40 0.25 0.25 0.25 0.25 0.5 0 0.5 0
ID227 1 1 1 111 47 0.25 0.25 0.25 0.25 0.5 0.5 0 0
ID228 3 1 2 312 41 0.25 0.25 0.25 0.25 0.6667 0 0 0.3333
ID229 2 1 1 211 52 0.25 0.25 0.25 0.25 0 0.3333 0.6667 0
ID23 3 1 1 311 39 0.25 0.25 0.25 0.25 0.2922 0.3333 0.0411 0.3333
ID230 2 2 2 222 30 0.25 0.25 0.25 0.25 0.3333 0.3333 0.3333 0
ID231 2 2 4 224 44 0.25 0.25 0.25 0.25 0 0 0.3333 0.6667
ID232 3 1 1 311 39 0.25 0.25 0.25 0.25 0.2922 0.3333 0.0411 0.3333
ID233 1 2 4 124 26 0.25 0.25 0.25 0.25 0 0.5 0 0.5
ID234 2 2 4 224 44 0.25 0.25 0.25 0.25 0 0 0.3333 0.6667
ID235 2 1 2 212 34 0.25 0.25 0.25 0.25 0.5 0 0.5 0
ID236 1 2 2 122 40 0.25 0.25 0.25 0.25 0.5 0.5 0 0
ID237 2 2 2 222 30 0.25 0.25 0.25 0.25 0.3333 0.3333 0.3333 0
ID238 1 1 4 114 45 0.25 0.25 0.25 0.25 0.6667 0 0 0.3333
ID239 1 2 3 123 44 0.25 0.25 0.25 0.25 0 0.6667 0.3333 0
ID24 2 1 1 211 52 0.25 0.25 0.25 0.25 0 0.3333 0.6667 0
ID240 2 1 3 213 55 0.25 0.25 0.25 0.25 0 0 1 0
ID241 3 2 2 322 41 0.25 0.25 0.25 0.25 0.3333 0 0 0.6667
ID242 1 1 4 114 45 0.25 0.25 0.25 0.25 0.6667 0 0 0.3333
ID243 3 1 2 312 41 0.25 0.25 0.25 0.25 0.6667 0 0 0.3333
ID244 1 2 2 122 40 0.25 0.25 0.25 0.25 0.5 0.5 0 0
ID245 2 2 4 224 44 0.25 0.25 0.25 0.25 0 0 0.3333 0.6667
ID246 1 2 3 123 44 0.25 0.25 0.25 0.25 0 0.6667 0.3333 0
ID247 2 1 1 211 52 0.25 0.25 0.25 0.25 0 0.3333 0.6667 0
ID248 2 1 3 213 55 0.25 0.25 0.25 0.25 0 0 1 0
ID249 2 1 4 214 46 0.25 0.25 0.25 0.25 0 0 0.6667 0.3333
ID25 3 1 4 314 40 0.25 0.25 0.25 0.25 0.2515 0 0.0818 0.6667
ID250 3 1 1 311 39 0.25 0.25 0.25 0.25 0.2922 0.3333 0.0411 0.3333
ID251 1 2 2 122 40 0.25 0.25 0.25 0.25 0.5 0.5 0 0
ID252 1 2 3 123 44 0.25 0.25 0.25 0.25 0 0.6667 0.3333 0
ID253 1 2 2 122 40 0.25 0.25 0.25 0.25 0.5 0.5 0 0
ID254 1 2 2 122 40 0.25 0.25 0.25 0.25 0.5 0.5 0 0
ID255 3 2 1 321 41 0.25 0.25 0.25 0.25 0 0.5 0 0.5
ID256 1 1 2 112 34 0.25 0.25 0.25 0.25 1 0 0 0
ID257 2 2 4 224 44 0.25 0.25 0.25 0.25 0 0 0.3333 0.6667
ID258 1 1 4 114 45 0.25 0.25 0.25 0.25 0.6667 0 0 0.3333
ID259 2 1 3 213 55 0.25 0.25 0.25 0.25 0 0 1 0
ID26 2 1 2 212 34 0.25 0.25 0.25 0.25 0.5 0 0.5 0
ID260 2 2 4 224 44 0.25 0.25 0.25 0.25 0 0 0.3333 0.6667
ID261 1 1 2 112 34 0.25 0.25 0.25 0.25 1 0 0 0
ID262 1 1 3 113 40 0.25 0.25 0.25 0.25 0.5 0 0.5 0
ID263 1 1 3 113 40 0.25 0.25 0.25 0.25 0.5 0 0.5 0
ID264 1 2 4 124 26 0.25 0.25 0.25 0.25 0 0.5 0 0.5
ID265 3 2 2 322 41 0.25 0.25 0.25 0.25 0.3333 0 0 0.6667
ID266 1 1 1 111 47 0.25 0.25 0.25 0.25 0.5 0.5 0 0
ID267 1 1 1 111 47 0.25 0.25 0.25 0.25 0.5 0.5 0 0
ID268 1 1 2 112 34 0.25 0.25 0.25 0.25 1 0 0 0
ID269 2 1 3 213 55 0.25 0.25 0.25 0.25 0 0 1 0
ID27 1 1 1 111 47 0.25 0.25 0.25 0.25 0.5 0.5 0 0
ID270 2 1 2 212 34 0.25 0.25 0.25 0.25 0.5 0 0.5 0
ID271 3 2 1 321 41 0.25 0.25 0.25 0.25 0 0.5 0 0.5
ID272 2 1 3 213 55 0.25 0.25 0.25 0.25 0 0 1 0
ID273 3 1 1 311 39 0.25 0.25 0.25 0.25 0.2922 0.3333 0.0411 0.3333
ID274 1 2 1 121 50 0.25 0.25 0.25 0.25 0 1 0 0
ID275 1 2 3 123 44 0.25 0.25 0.25 0.25 0 0.6667 0.3333 0
ID276 1 2 1 121 50 0.25 0.25 0.25 0.25 0 1 0 0
ID277 1 2 4 124 26 0.25 0.25 0.25 0.25 0 0.5 0 0.5
ID278 1 2 2 122 40 0.25 0.25 0.25 0.25 0.5 0.5 0 0
ID279 3 1 4 314 40 0.25 0.25 0.25 0.25 0.2515 0 0.0818 0.6667
ID28 2 2 3 223 44 0.25 0.25 0.25 0.25 0 0.3333 0.6667 0
ID280 1 2 3 123 44 0.25 0.25 0.25 0.25 0 0.6667 0.3333 0
ID281 1 2 4 124 26 0.25 0.25 0.25 0.25 0 0.5 0 0.5
ID282 3 1 3 313 40 0.25 0.25 0.25 0.25 0 0 0.6667 0.3333
ID283 3 2 3 323 47 0.25 0.25 0.25 0.25 0 0 0.3333 0.6667
ID284 2 1 3 213 55 0.25 0.25 0.25 0.25 0 0 1 0
ID285 1 2 3 123 44 0.25 0.25 0.25 0.25 0 0.6667 0.3333 0
ID286 1 1 2 112 34 0.25 0.25 0.25 0.25 1 0 0 0
ID287 1 2 1 121 50 0.25 0.25 0.25 0.25 0 1 0 0
ID288 2 1 3 213 55 0.25 0.25 0.25 0.25 0 0 1 0
ID289 1 2 2 122 40 0.25 0.25 0.25 0.25 0.5 0.5 0 0
ID29 3 2 4 324 54 0.25 0.25 0.25 0.25 0 0 0 1
ID290 2 1 1 211 52 0.25 0.25 0.25 0.25 0 0.3333 0.6667 0
ID291 1 2 1 121 50 0.25 0.25 0.25 0.25 0 1 0 0
ID292 1 2 3 123 44 0.25 0.25 0.25 0.25 0 0.6667 0.3333 0
ID293 3 1 2 312 41 0.25 0.25 0.25 0.25 0.6667 0 0 0.3333
ID294 3 2 2 322 41 0.25 0.25 0.25 0.25 0.3333 0 0 0.6667
ID295 2 2 4 224 44 0.25 0.25 0.25 0.25 0 0 0.3333 0.6667
ID296 2 1 2 212 34 0.25 0.25 0.25 0.25 0.5 0 0.5 0
ID297 1 1 2 112 34 0.25 0.25 0.25 0.25 1 0 0 0
ID298 3 2 2 322 41 0.25 0.25 0.25 0.25 0.3333 0 0 0.6667
ID299 1 1 1 111 47 0.25 0.25 0.25 0.25 0.5 0.5 0 0
ID3 3 1 3 313 40 0.25 0.25 0.25 0.25 0 0 0.6667 0.3333
ID30 2 1 1 211 52 0.25 0.25 0.25 0.25 0 0.3333 0.6667 0
ID300 1 1 4 114 45 0.25 0.25 0.25 0.25 0.6667 0 0 0.3333
ID301 2 2 4 224 44 0.25 0.25 0.25 0.25 0 0 0.3333 0.6667
ID302 1 2 3 123 44 0.25 0.25 0.25 0.25 0 0.6667 0.3333 0
ID303 2 1 3 213 55 0.25 0.25 0.25 0.25 0 0 1 0
ID304 2 2 3 223 44 0.25 0.25 0.25 0.25 0 0.3333 0.6667 0
ID305 2 2 2 222 30 0.25 0.25 0.25 0.25 0.3333 0.3333 0.3333 0
ID306 2 2 3 223 44 0.25 0.25 0.25 0.25 0 0.3333 0.6667 0
ID307 3 1 2 312 41 0.25 0.25 0.25 0.25 0.6667 0 0 0.3333
ID308 3 1 1 311 39 0.25 0.25 0.25 0.25 0.2922 0.3333 0.0411 0.3333
ID309 3 1 1 311 39 0.25 0.25 0.25 0.25 0.2922 0.3333 0.0411 0.3333
ID31 1 1 4 114 45 0.25 0.25 0.25 0.25 0.6667 0 0 0.3333
ID310 3 2 4 324 54 0.25 0.25 0.25 0.25 0 0 0 1
ID311 1 2 3 123 44 0.25 0.25 0.25 0.25 0 0.6667 0.3333 0
ID312 3 1 3 313 40 0.25 0.25 0.25 0.25 0 0 0.6667 0.3333
ID313 3 2 4 324 54 0.25 0.25 0.25 0.25 0 0 0 1
ID314 3 2 4 324 54 0.25 0.25 0.25 0.25 0 0 0 1
ID315 2 2 3 223 44 0.25 0.25 0.25 0.25 0 0.3333 0.6667 0
ID316 3 1 2 312 41 0.25 0.25 0.25 0.25 0.6667 0 0 0.3333
ID317 3 1 1 311 39 0.25 0.25 0.25 0.25 0.2922 0.3333 0.0411 0.3333
ID318 3 1 1 311 39 0.25 0.25 0.25 0.25 0.2922 0.3333 0.0411 0.3333
ID319 1 1 1 111 47 0.25 0.25 0.25 0.25 0.5 0.5 0 0
ID32 3 2 1 321 41 0.25 0.25 0.25 0.25 0 0.5 0 0.5
ID320 1 2 1 121 50 0.25 0.25 0.25 0.25 0 1 0 0
ID321 3 2 1 321 41 0.25 0.25 0.25 0.25 0 0.5 0 0.5
ID322 2 1 4 214 46 0.25 0.25 0.25 0.25 0 0 0.6667 0.3333
ID323 3 1 4 314 40 0.25 0.25 0.25 0.25 0.2515 0 0.0818 0.6667
ID324 2 2 2 222 30 0.25 0.25 0.25 0.25 0.3333 0.3333 0.3333 0
ID325 1 1 1 111 47 0.25 0.25 0.25 0.25 0.5 0.5 0 0
ID326 2 2 2 222 30 0.25 0.25 0.25 0.25 0.3333 0.3333 0.3333 0
ID327 2 2 2 222 30 0.25 0.25 0.25 0.25 0.3333 0.3333 0.3333 0
ID328 2 1 3 213 55 0.25 0.25 0.25 0.25 0 0 1 0
ID329 1 2 1 121 50 0.25 0.25 0.25 0.25 0 1 0 0
ID33 3 1 3 313 40 0.25 0.25 0.25 0.25 0 0 0.6667 0.3333
ID330 1 1 3 113 40 0.25 0.25 0.25 0.25 0.5 0 0.5 0
ID331 1 2 3 123 44 0.25 0.25 0.25 0.25 0 0.6667 0.3333 0
ID332 3 2 1 321 41 0.25 0.25 0.25 0.25 0 0.5 0 0.5
ID333 3 2 2 322 41 0.25 0.25 0.25 0.25 0.3333 0 0 0.6667
ID334 1 1 4 114 45 0.25 0.25 0.25 0.25 0.6667 0 0 0.3333
ID335 1 2 3 123 44 0.25 0.25 0.25 0.25 0 0.6667 0.3333 0
